#n        #time_in_micro        

1000        1348
1500        2078
2250        3290
3375        5236
5062        8195
7593        12993
11389        20271
17083        32055
25624        48224
38436        76925
57654        132312
86481        218152
129721        361743
194581        605623
291871        1.01042e+06
437806        1.61833e+06
656709        2.68631e+06
985063        4.69102e+06
1477594        7.80051e+06
2216391        1.25471e+07
3324586        2.0265e+07
4986879        3.3145e+07
7480318        6.01774e+07
