#n        #time_in_micro        

1000        509
1500        785
2250        1251
3375        1944
5062        3066
7593        4735
11389        7334
17083        11254
25624        17596
38436        31873
57654        55807
86481        93446
129721        150426
194581        234196
291871        370839
437806        576006
656709        965684
985063        1.65522e+06
1477594        2.5894e+06
2216391        4.2046e+06
3324586        6.63522e+06
4986879        1.07994e+07
7480318        1.72175e+07
