#n        #time_in_micro        #compares

1000        619.2        38.2
1142        718.2        39.6
1305        833.4        40
1491        1025.2        42
1704        1207.2        43
1947        1332.4        43
2225        1564.6        44.6
2542        1828        45
2905        2136.6        47
3320        2499.8        48
3794        2932.4        48.2
4336        3454.6        50
4955        4017.2        50
5662        4732.2        52
6470        5545.6        53
7394        6478        53.2
8450        7673.4        55
9657        8935.6        55
