#n        #time_in_micro        #compares

1000        105.4        8.2
1142        118.4        8
1305        137.4        8.4
1491        156        8.6
1704        178.6        8.8
1947        208        9
2225        235        9
2542        268.8        9
2905        293.6        9
3320        340.8        9
3794        396.8        9
4336        477.4        9.2
4955        584.2        9.4
5662        664.4        10
6470        763.4        10
7394        848.8        10
8450        955.2        10
9657        1097.6        10
