#n        #time_in_micro        #compares

1000        709        41
1142        819.2        42.2
1305        968.2        43
1491        1200.8        45
1704        1391.6        46
1947        1669.2        46
2225        1931.4        47
2542        2267.4        48
2905        2608.2        50
3320        3067.4        50.6
3794        3537.6        51
4336        4078.4        52.4
4955        4692.2        53
5662        5427.4        55
6470        6539.6        56
7394        7640.6        56
8450        8912.6        57.8
9657        10652.4        58
