#n        #time_in_micro        #compares

1000        303.4        21
1142        355.8        21.4
1305        410.2        22
1491        482        23
1704        560        24
1947        664.6        24.4
2225        762.2        25
2542        886.4        26
2905        1039.4        27
3320        1242.4        27
3794        1411        28
4336        1650.2        29
4955        1934        30
5662        2276.4        30
6470        2642.8        31
7394        3099.2        32
8450        3625.6        32.6
9657        4268.8        33
